Predicted Winner,Underdog,Win Probability
Alabama A&M,Vermont,0.9527268
Dayton,St John's,0.52193046
San Jose St,West Virginia,0.5763424
IL Chicago,East Carolina,0.5098635
Ga Southern,Boston College,0.635444
Detroit,Utah Valley,0.8647589
American Univ,New Hampshire,0.59553254
Washington,St Louis,0.79145515
Morehead St,American Univ,0.7748352
Presbyterian,Pepperdine,0.54690176
Utah Valley,MD E Shore,0.8659509
UTRGV,Elon,0.6592357
St Joseph's PA,Gonzaga,0.9753273
Utica,NC State,0.9969539
Stanford,Idaho,0.9493763
Hawaii,ULM,0.9477329
Notre Dame,James Madison,0.8920336
Seton Hall,Ohio St,0.5059625
W Salem St,Cornell,0.91053146
Indiana,UT Arlington,0.51553154
Ball St,Rhode Island,0.7669772
Princeton,Buffalo,0.6028048
Montana St,UMBC,0.89743465
Quinnipiac,Incarnate Word,0.53835785
Youngstown St,Bethune-Cookman,0.7443726
Utah St,Nicholls St,0.6950736
Texas,Tarleton St,0.7255342
Mississippi St,Houston Chr,0.6871773
Nevada,Oregon St,0.7474357
McNeese St,St Joseph's PA,0.50871646
Furman,Maryland,0.889226
Connecticut,Marquette,0.6668333
N Colorado,Col Charleston,0.6859547
Portland,Alcorn St,0.58958364
Michigan,Nicholls St,0.79854673
Rhode Island,Iowa St,0.69227916
Manhattan,W Salem St,0.9248453
VMI,Delaware,0.9027558
Indiana,Samford,0.83511084
Penn,Gardner Webb,0.97503847
Bowling Green,Liberty,0.785263
Presbyterian,Houston,0.9888802
Mt St Mary's,SE Missouri St,0.8704523
Alabama St,Bucknell,0.8870483
E Washington,ULM,0.97145027
Alabama St,Incarnate Word,0.8545773
Towson,Washington St,0.78334016
Toledo,Niagara,0.97702754
Stony Brook,Lindenwood,0.7310709
Prairie View,Austin Peay,0.76723003
North Carolina,WI Milwaukee,0.9489413
Toledo,Cent Arkansas,0.55766
Army,Iona,0.9626899
ETSU,South Florida,0.98412514
Minnesota,UCF,0.78051466
Stony Brook,UAB,0.8992703
Yale,Queens NC,0.5241709
E Michigan,Elon,0.63711476
SF Austin,UTEP,0.8850304
S Carolina St,Austin Peay,0.8117904
Missouri,Campbell,0.69639313
Cincinnati,North Dakota,0.8243729
Youngstown St,North Carolina,0.89171505
W Illinois,Elon,0.7939185
Colgate,Columbia,0.8761544
Hardin-Simmons,Duke,0.82059205
New Hampshire,Kennesaw,0.7056916
Georgia Tech,Niagara,0.91398364
Utah,San Diego St,0.88542265
Oklahoma St,Citadel,0.7478093
Syracuse,James Madison,0.7393394
Mississippi,Belmont,0.8894989
Maryland,Drake,0.65609175
LSU,Richmond,0.9729102
UCF,Kennesaw,0.81269217
Memphis,Navy,0.6750194
Citadel,Valparaiso,0.9718043
Purdue,Fordham,0.6727836
Rice,St John's,0.8882581
Tulsa,Gardner Webb,0.5646029
Bradley,Troy,0.5741764
Dartmouth,Denver,0.6918104
Wyoming,Samford,0.87422234
Tennessee Tech,East Carolina,0.8528794
Florida Intl,CS Sacramento,0.9887267
Princeton,Pacific,0.70346916
Stonehill,Lamar,0.5097838
Howard,Prairie View,0.8207688
Kansas,F Dickinson,0.82749957
ETSU,Oral Roberts,0.6985969
Troy,Valparaiso,0.7842872
Nebraska,Chicago St,0.9850252
Ohio,Montana,0.97678065
Missouri,CS Northridge,0.73997915
Marist,Butler,0.9199738
North Florida,Rider,0.7324975
Tarleton St,Wichita St,0.5056337
Southern Univ,Utica,0.65794146
Cornell,Navy,0.78893167
Stanford,New Mexico,0.824143
Stonehill,San Diego St,0.74931645
Xavier,Villanova,0.83460313
WI Milwaukee,IUPUI,0.66566557
UAB,WI Green Bay,0.8824767
Quinnipiac,Kentucky,0.778633
Houston,Georgetown,0.6020819
E Washington,Santa Clara,0.53241664
Boise St,Xavier,0.61585605
Chattanooga,BYU,0.75855863
Chicago St,West Virginia,0.96929044
Southern Indiana,North Texas,0.65277326
Cal Baptist,Pacific,0.5499513
Weber St,Incarnate Word,0.8746042
Arkansas,UNC Greensboro,0.61409277
William & Mary,E Illinois,0.5021697
Lipscomb,MD E Shore,0.6823949
Kansas,Florida Intl,0.921675
UC San Diego,Quinnipiac,0.94826853
Mt St Mary's,Tarleton St,0.55872804
Towson,St Peter's,0.5301807
Norfolk St,Ga Southern,0.63699627
Penn,Alabama A&M,0.7184321
Wichita St,Syracuse,0.7068598
N Kentucky,Valparaiso,0.78647447
N Illinois,Oral Roberts,0.7810395
St Francis NY,Presbyterian,0.76851803
VMI,Northern Iowa,0.56515616
Colorado St,Dartmouth,0.78352565
Birmingham So,North Florida,0.7929432
Northeastern,Oklahoma St,0.9573794
UTEP,Washington,0.87744176
Santa Clara,Sam Houston St,0.6814715
Cornell,Valparaiso,0.84237385
Gardner Webb,Florida A&M,0.95817834
Birmingham So,Colorado,0.811678
SUNY Albany,Texas St,0.9775195
Okla City,Creighton,0.5155373
Richmond,Nicholls St,0.9742633
Fordham,SC Upstate,0.6801624
Nevada,Brooklyn,0.9257016
Loyola MD,Liberty,0.874872
Texas St,S Dakota St,0.7517275
Merrimack,Minnesota,0.55295897
Notre Dame,PFW,0.6237887
George Mason,Quinnipiac,0.86229813
Duquesne,UTRGV,0.8199682
Queens NC,Detroit,0.61516833
Virginia,UC San Diego,0.5078808
NC Central,Northern Arizona,0.89866257
Santa Clara,UCLA,0.5226985
TAM C. Christi,Butler,0.87378705
W Michigan,Elon,0.797738
IUPUI,Mt St Mary's,0.7105671
Nevada,San Diego St,0.5140526
Cal Baptist,North Florida,0.77029425
MA Lowell,Appalachian St,0.53087115
Memphis,Fairfield,0.74962544
Coppin St,Ohio,0.88621044
N Colorado,Stony Brook,0.8097068
Ohio,Northeastern,0.85432476
Miami OH,Columbia,0.836563
Centenary,Campbell,0.92843324
UT San Antonio,Marquette,0.853867
Belmont,Kansas,0.80627173
James Madison,Yale,0.62910086
Wagner,USC,0.79798996
Virginia,East Carolina,0.94198763
Bradley,MTSU,0.74251163
Buffalo,Weber St,0.80256844
Utah Valley,Ark Little Rock,0.52382624
PFW,Oral Roberts,0.74080825
New Orleans,Houston Chr,0.74518085
UCF,Florida,0.99560475
Loyola MD,Arizona,0.8394547
Georgia St,SF Austin,0.90728784
Armstrong St,Florida Intl,0.9100063
Southern Indiana,SF Austin,0.72416717
Santa Clara,Charlotte,0.7039243
Memphis,American Univ,0.67778116
FL Atlantic,N Illinois,0.9086582
Utah,St Thomas MN,0.6093617
Baylor,North Florida,0.5208895
Washington St,Charleston So,0.86650366
Maryland,Sam Houston St,0.9869955
James Madison,Hampton,0.5868958
ULM,Holy Cross,0.6012045
Alabama A&M,San Diego,0.79177386
McNeese St,Miami FL,0.9393246
TN Martin,NE Illinois,0.5184828
NE Illinois,Connecticut,0.83311266
UTEP,Mercyhurst,0.6182392
Chattanooga,South Carolina,0.7335086
Charlotte,Kansas St,0.72177464
Marquette,UC San Diego,0.74885786
Tarleton St,NC A&T,0.75278246
Oregon,Dayton,0.9182286
Boston College,Longwood,0.91942453
MTSU,North Alabama,0.5753433
Merrimack,Jackson St,0.6548895
E Washington,F Dickinson,0.8370377
Southern Miss,Manhattan,0.7662548
Col Charleston,Manhattan,0.6754048
Indiana,Dartmouth,0.94314617
Buffalo,Utica,0.7955212
Longwood,Drexel,0.6323439
UC Riverside,West Virginia,0.7658157
Santa Clara,Alabama A&M,0.7775438
NC State,W Salem St,0.7672026
Cornell,F Dickinson,0.83559144
Old Dominion,Missouri St,0.85625404
Detroit,Niagara,0.9156151
Memphis,Bucknell,0.7030612
North Carolina,St John's,0.9147126
Fresno St,CS Fullerton,0.8270142
Penn St,Nevada,0.917691
Monmouth NJ,Maine,0.90066034
C Michigan,CS Sacramento,0.76212794
Ga Southern,Texas St,0.69345486
UTRGV,UMBC,0.8532329
IUPUI,UTEP,0.6924187
Tarleton St,Tennessee,0.911317
Texas,Morris Brown,0.9470971
Colgate,Siena,0.6839948
Maryland,Bryant,0.8578407
Missouri St,South Florida,0.6042382
Idaho,IL Chicago,0.64461416
Col Charleston,Iowa,0.90991783
Utah,St John's,0.83561105
Louisiana Tech,Penn,0.8108772
UMBC,Cleveland St,0.82640785
SMU,Texas St,0.77504754
Portland St,Marist,0.9237982
Wichita St,Colgate,0.8172526
VMI,MTSU,0.9177338
South Dakota,Lafayette,0.9851182
Vanderbilt,Southern Univ,0.82922214
Hartford,G Washington,0.7549196
Oral Roberts,UNLV,0.96418864
Columbia,Toledo,0.5606924
FL Atlantic,American Univ,0.94159216
Duquesne,Temple,0.9322761
IUPUI,South Carolina,0.70797276
SIUE,Vermont,0.80034363
Chattanooga,Northeastern,0.9497392
Louisiana Tech,MS Valley St,0.69088393
Utah,Longwood,0.5001955
LIU Brooklyn,Savannah St,0.708261
Yale,Troy,0.9009811
Okla City,Idaho St,0.6026936
Houston,St Bonaventure,0.94599617
Duquesne,Montana,0.87757856
South Dakota,Morehead St,0.89535016
Cincinnati,SUNY Albany,0.91226715
Tarleton St,MD E Shore,0.60562706
Bradley,Lafayette,0.8306804
Bucknell,Temple,0.85131985
St Bonaventure,W Illinois,0.6335623
Old Dominion,Appalachian St,0.8183601
C Michigan,S Dakota St,0.85142994
Southern Miss,Illinois St,0.646339
St Joseph's PA,W Illinois,0.84489036
Citadel,Chattanooga,0.7864232
Youngstown St,IUPUI,0.8478456
West Georgia,Longwood,0.78768516
CS Fullerton,Mercer,0.61022997
USC,WKU,0.95981705
Southern Indiana,Oklahoma St,0.5097831
Bowling Green,Hofstra,0.8472692
George Mason,UTRGV,0.6540981
E Kentucky,Oakland,0.89793265
Florida A&M,LIU Brooklyn,0.5278513
Wofford,Iowa St,0.6641189
Pittsburgh,TX Southern,0.7180107
UC San Diego,Charleston So,0.72565484
SC Upstate,Citadel,0.7341918
Massachusetts,Xavier,0.6301459
NJIT,La Salle,0.59546304
Delaware,Robert Morris,0.7094338
Georgia St,Canisius,0.5015944
Northern Arizona,Buffalo,0.9791211
Ark Little Rock,Seattle,0.86236286
UTEP,Campbell,0.9561381
Hawaii,Gonzaga,0.8475487
Abilene Chr,Alabama,0.75279903
Indiana St,Loyola MD,0.749112
Penn St,Michigan,0.66660523
Utah Tech,Georgia,0.9080684
Alabama A&M,West Georgia,0.8420447
Sam Houston St,Penn St,0.7874483
NJIT,West Georgia,0.6186338
Wofford,Brooklyn,0.98586243
Utica,G Washington,0.75549793
Austin Peay,Winthrop,0.66238326
UAB,UNLV,0.74234474
Murray St,Loyola MD,0.5610691
St Francis NY,Arkansas St,0.69597083
James Madison,Idaho St,0.81514645
Baylor,Alabama A&M,0.5247561
PFW,Coastal Car,0.63137484
Evansville,Idaho St,0.922834
Coppin St,Illinois St,0.96289665
Montana,ULM,0.8530066
Boston Univ,Florida A&M,0.8652329
Gonzaga,FGCU,0.915983
FGCU,MD E Shore,0.9856118
Indiana St,New Orleans,0.7462933
Charlotte,Stony Brook,0.68542695
Samford,Idaho,0.7828616
IUPUI,Bethune-Cookman,0.5784962
Robert Morris,New Orleans,0.87933683
Florida St,Seattle,0.74450225
Northern Iowa,CS Fullerton,0.7308365
Georgia St,Idaho,0.6179096
E Illinois,Stetson,0.861249
Southern Univ,Centenary,0.89632535
Youngstown St,Drexel,0.98419374
UTRGV,North Texas,0.65067226
Oakland,Abilene Chr,0.54973286
Massachusetts,West Virginia,0.5687544
Birmingham So,Stanford,0.88610196
Stetson,Iowa,0.992447
Valparaiso,Richmond,0.90709424
N Kentucky,Oral Roberts,0.784099
Loyola-Chicago,Boston Univ,0.58878386
Evansville,Oklahoma St,0.6263754
Iowa,Oregon St,0.71911466
Vermont,Baylor,0.6510583
UT San Antonio,South Dakota,0.7587768
E Kentucky,Northwestern LA,0.7987439
USC,Lehigh,0.7641555
Siena,Utah,0.84946966
Arizona,NC State,0.5485264
Lafayette,Tennessee St,0.77079356
Harvard,Gonzaga,0.50588757
W Texas A&M,Loyola-Chicago,0.6903534
Vanderbilt,San Francisco,0.6692717
North Texas,Santa Clara,0.7874726
California,Loy Marymount,0.76681596
Vermont,Akron,0.87958443
Stony Brook,MTSU,0.74071056
Creighton,Vanderbilt,0.6109919
St Francis PA,Georgia St,0.8011765
Fresno St,St John's,0.88872737
Ark Little Rock,New Orleans,0.723186
WKU,Fordham,0.93906176
Cent Arkansas,Drexel,0.55456096
St Mary's CA,Air Force,0.5661654
Tarleton St,North Dakota,0.6571794
Wisconsin,St Francis PA,0.6509201
Weber St,Kent,0.84848404
Notre Dame,Weber St,0.7582429
E Kentucky,Illinois,0.807254
Merrimack,Okla City,0.76118535
Stony Brook,Texas A&M,0.5097699
UT Arlington,Illinois,0.7084851
Washington St,Seton Hall,0.5376953
Mississippi,Colorado,0.786401
Southern Univ,TCU,0.7924129
TN Martin,Florida A&M,0.614733
Alliant Intl,Wright St,0.69118816
ULM,Virginia Tech,0.7478552
Bryant,IL Chicago,0.69110096
SIUE,Miami FL,0.7449957
NC Central,Notre Dame,0.905226
Chattanooga,TX Southern,0.96902466
WKU,F Dickinson,0.70798475
NC A&T,N Colorado,0.93886244
Wagner,Boston College,0.6513597
UTRGV,Bryant,0.80305374
Youngstown St,Fordham,0.5550558
Monmouth NJ,Northern Iowa,0.7331088
Northern Iowa,Navy,0.85189
Savannah St,Georgetown,0.9240164
W Illinois,UCLA,0.8955929
N Kentucky,Air Force,0.5497179
Butler,Virginia Tech,0.61635196
TCU,Lamar,0.6336451
Rice,Chicago St,0.93144804
Southern Indiana,Tennessee Tech,0.9657643
George Mason,G Washington,0.5907489
Drake,UNLV,0.9056657
Long Beach St,Morgan St,0.9528053
Robert Morris,Lafayette,0.54548323
WKU,Marquette,0.60263777
UCLA,Valparaiso,0.81394166
Ark Pine Bluff,S Carolina St,0.5511444
Kentucky,DePaul,0.93498594
F Dickinson,Mercer,0.823774
UCLA,S Carolina St,0.5081211
Bradley,Coastal Car,0.66695917
Portland,Merrimack,0.6285818
Illinois,Central Conn,0.52306175
E Washington,Delaware St,0.52396935
St Thomas MN,Brooklyn,0.6933786
Birmingham So,North Dakota,0.7027759
TX Southern,E Kentucky,0.7037402
WI Green Bay,Oregon,0.93643004
Utah,Mercyhurst,0.56877106
Connecticut,James Madison,0.85084236
Missouri KC,MTSU,0.7515907
Wisconsin,Elon,0.6101718
San Jose St,Wichita St,0.9401162
Yale,Towson,0.90013325
Binghamton,Wisconsin,0.7170914
G Washington,TX Southern,0.9788113
SF Austin,UNC Wilmington,0.9403483
NE Illinois,Auburn,0.8421866
Incarnate Word,Cornell,0.8936535
Washington,UCF,0.6693805
Elon,Missouri,0.8956215
Penn St,Montana,0.7282338
Iona,Alliant Intl,0.62798274
Notre Dame,Memphis,0.6292013
W Michigan,UT San Antonio,0.8537123
Southern Univ,St Mary's CA,0.79590136
Alabama St,Appalachian St,0.83561766
Massachusetts,C Michigan,0.6523308
Jacksonville St,Notre Dame,0.59405994
Morris Brown,Loyola MD,0.76137817
North Texas,Hofstra,0.7369665
NE Illinois,Dayton,0.68607855
Cornell,FL Atlantic,0.9023087
Georgia,Florida St,0.75047994
Appalachian St,Alabama A&M,0.96769845
Colorado,Bradley,0.8105606
San Jose St,Quinnipiac,0.7973391
Idaho St,Liberty,0.69609225
Mississippi,MTSU,0.84499735
N Illinois,Northwestern LA,0.6205283
St Bonaventure,Rutgers,0.87937367
Liberty,William & Mary,0.77930766
High Point,SE Missouri St,0.5312709
Ohio,SC Upstate,0.56533897
Hofstra,VMI,0.9084979
Lafayette,Mississippi St,0.7653896
New Hampshire,William & Mary,0.8888606
VMI,N Illinois,0.933052
Brown,Nebraska,0.93477935
Alcorn St,Delaware St,0.94297945
South Carolina,Montana St,0.8279164
S Dakota St,Hawaii,0.86886156
Alabama,Norfolk St,0.92946863
ETSU,Cent Arkansas,0.6208154
Massachusetts,Coppin St,0.7662498
Augusta,Jackson St,0.8246219
Ohio,Austin Peay,0.7637013
Hardin-Simmons,Seattle,0.8806819
Iona,UNLV,0.85895133
North Alabama,SUNY Albany,0.9307552
Armstrong St,UT Arlington,0.7250464
Baylor,NC A&T,0.8190478
Jacksonville St,Kansas St,0.9256175
UTRGV,North Florida,0.87352633
Oakland,W Salem St,0.539437
Youngstown St,North Alabama,0.6961855
Duquesne,Alcorn St,0.73685825
W Illinois,St Mary's CA,0.8433186
Davidson,F Dickinson,0.79350626
Hartford,Texas Tech,0.5464957
Utah Tech,St Louis,0.99408126
Coastal Car,San Francisco,0.5417973
Evansville,Centenary,0.5608687
SMU,UTRGV,0.5107772
C Michigan,UT San Antonio,0.9772396
UMBC,WKU,0.9479384
Marquette,Missouri,0.7976455
VMI,Buffalo,0.94994766
UC Riverside,Hofstra,0.94086576
Marquette,WKU,0.90972304
Iowa,Cornell,0.87466514
Richmond,Morgan St,0.728211
Kent,Duquesne,0.57076573
Louisiana,Pittsburgh,0.8147619
E Washington,Michigan,0.5579381
Massachusetts,Lindenwood,0.8125411
Ball St,Creighton,0.7366555
Wisconsin,NE Omaha,0.5279025
Rice,Mississippi,0.9610341
St Francis NY,Florida,0.9465828
Quinnipiac,Clemson,0.77732164
Grand Canyon,Augusta,0.8105589
Minnesota,Villanova,0.729711
WKU,Stanford,0.921685
Coppin St,Florida,0.5222445
Arkansas St,Ohio St,0.85724294
Southern Indiana,Incarnate Word,0.70781195
UT San Antonio,Morehead St,0.5445916
Kansas St,South Florida,0.57761025
Cal Baptist,Providence,0.66965127
Columbia,St Thomas MN,0.9665681
Utah Tech,Akron,0.87402713
E Washington,Stonehill,0.72702605
Augusta,Idaho,0.63442457
Northern Iowa,Jacksonville,0.79053843
Boise St,West Georgia,0.8820463
Michigan,W Salem St,0.84257895
IUPUI,Denver,0.7609144
Maine,Stanford,0.77236724
Montana St,High Point,0.86671144
New Hampshire,N Kentucky,0.89747006
MA Lowell,Savannah St,0.5124765
Gardner Webb,Vermont,0.8236259
Abilene Chr,Dartmouth,0.7943878
N Illinois,Toledo,0.97242844
Oregon,NC State,0.51737416
TCU,Yale,0.73909056
Pepperdine,Coppin St,0.99621576
NE Omaha,W Salem St,0.61757725
Alliant Intl,Rider,0.542042
Okla City,Cincinnati,0.9794723
Nevada,Loyola-Chicago,0.7789885
Bellarmine,E Washington,0.5332076
Detroit,Bucknell,0.6264054
Seton Hall,Fairfield,0.90674305
Gardner Webb,NC State,0.5324748
Oklahoma St,Samford,0.6303213
Seton Hall,Michigan,0.9212165
Penn St,S Illinois,0.8053599
Valparaiso,Hawaii,0.8349632
Notre Dame,Kent,0.7457278
Ga Southern,Oakland,0.5681215
Le Moyne,Liberty,0.5867887
St Joseph's PA,Towson,0.78532785
WI Milwaukee,Alabama A&M,0.84958005
Alliant Intl,UNC Greensboro,0.54871
Merrimack,McNeese St,0.8220962
Yale,Bradley,0.8807438
Bowling Green,San Diego,0.5304139
Campbell,Charleston So,0.64254695
Bucknell,Iowa,0.8142637
Boston Univ,Iowa,0.62918305
Bradley,Queens NC,0.9111894
Bowling Green,Okla City,0.67054045
Towson,Holy Cross,0.541508
North Dakota,Georgia,0.9187165
Portland,Jacksonville St,0.83373564
Cal Baptist,VCU,0.90209943
Texas A&M,Arkansas St,0.8516049
Massachusetts,High Point,0.71045244
Florida Intl,Oral Roberts,0.6264627
UC Santa Barbara,Ark Pine Bluff,0.98546404
Alabama,Cornell,0.67117006
Colorado St,Iowa St,0.899356
Niagara,FGCU,0.6182205
Ga Southern,CS Bakersfield,0.7767262
TN Martin,Radford,0.85722697
W Illinois,Notre Dame,0.7094884
UC Riverside,Augusta,0.8422297
Texas Tech,Manhattan,0.5754726
Florida Intl,Memphis,0.9386926
Appalachian St,North Alabama,0.93811667
SUNY Albany,Towson,0.522983
LSU,Cleveland St,0.76065415
Loy Marymount,Kansas,0.8840427
Augusta,San Diego,0.93068093
Mt St Mary's,W Texas A&M,0.79121673
Alabama A&M,Navy,0.81883043
Maryland,Radford,0.5089301
Queens NC,East Carolina,0.72438484
Winthrop,Southern Univ,0.61996657
San Francisco,Hartford,0.9551894
SC Upstate,E Washington,0.787904
Northern Arizona,Tulane,0.93346536
WI Green Bay,Northwestern,0.5301976
Troy,Jackson St,0.52816164
Cleveland St,Villanova,0.64394784
Arkansas St,Fresno St,0.77360225
Marist,Miami FL,0.78836155
St Francis NY,Elon,0.8479452
Nebraska,Coppin St,0.82920176
West Virginia,MD E Shore,0.542117
North Alabama,Morehead St,0.6707323
Southern Utah,E Illinois,0.65600646
North Alabama,High Point,0.9593047
Colorado,Arizona St,0.829509
Tennessee,Alabama,0.9879027
Grambling,MA Lowell,0.6763581
Oakland,Indiana St,0.8750102
St John's,Belmont,0.5541694
Wagner,Oregon St,0.581455
Valparaiso,SC Upstate,0.57726145
Charlotte,Tennessee Tech,0.52580935
Prairie View,Vermont,0.9529449
Navy,South Dakota,0.83371854
E Kentucky,Indiana,0.7505889
SF Austin,Miami FL,0.75783086
Charlotte,Air Force,0.6824533
UT Arlington,Wagner,0.7092589
Pittsburgh,Furman,0.5822211
Liberty,Gardner Webb,0.85742563
Grambling,Iowa St,0.99474335
UNLV,Memphis,0.8756466
Nicholls St,SE Missouri St,0.7784401
Charlotte,W Illinois,0.6595042
Illinois,Duquesne,0.7485357
Michigan,N Kentucky,0.83126885
St Mary's CA,California,0.72888196
E Kentucky,FL Atlantic,0.99042964
Queens NC,St Francis PA,0.6383963
VCU,Oakland,0.8818932
Colorado,Murray St,0.5755347
Ball St,UC San Diego,0.7110112
Rider,Tennessee Tech,0.98572874
Alabama,Robert Morris,0.9710097
Washington St,Wagner,0.7874377
TX Southern,St Francis PA,0.84983164
South Carolina,E Michigan,0.9772202
Southern Miss,Appalachian St,0.6159956
Idaho St,Belmont,0.83476573
Bucknell,Oregon St,0.53363556
Texas,UTEP,0.663639
Oklahoma,Virginia,0.85836536
E Michigan,Tennessee St,0.577134
Stanford,G Washington,0.97021586
Ga Southern,Samford,0.8638941
Savannah St,Oral Roberts,0.5590352
Michigan St,Lafayette,0.7637966
Yale,Jacksonville,0.8789533
SUNY Albany,F Dickinson,0.9787748
George Mason,Bethune-Cookman,0.7822602
NC Central,Longwood,0.7553256
W Texas A&M,G Washington,0.96434027
Miami OH,Monmouth NJ,0.9344902
Hardin-Simmons,Loyola MD,0.9795257
G Washington,Marquette,0.7795701
Cornell,TX Southern,0.9300173
Missouri St,California,0.7243768
CS Northridge,W Salem St,0.5720933
WKU,Fairfield,0.6834688
Rider,Creighton,0.6135198
Richmond,Oregon,0.54976815
W Carolina,Alabama A&M,0.8145236
Tarleton St,Rider,0.794128
Vanderbilt,Maine,0.69583654
Iona,Sam Houston St,0.82605207
Alcorn St,Wofford,0.8836009
South Florida,NJIT,0.6832682
Abilene Chr,NC State,0.5882169
Maryland,West Virginia,0.7326797
Rider,MA Lowell,0.8769295
UAB,UT San Antonio,0.6761496
North Florida,Oklahoma,0.8012912
UAB,C Michigan,0.6182736
Morgan St,Virginia Tech,0.5765805
Hardin-Simmons,UC Irvine,0.74960107
W Texas A&M,Elon,0.7277657
Nevada,Siena,0.9465404
Bethune-Cookman,SF Austin,0.83482444
Tennessee Tech,Cent Arkansas,0.8810492
Houston Chr,Manhattan,0.84308976
Southern Univ,Mercyhurst,0.64230436
Nevada,Radford,0.6295409
Stonehill,Northern Arizona,0.54931736
Clemson,Youngstown St,0.7572692
Prairie View,Purdue,0.7627194
UC Davis,Sam Houston St,0.586305
Temple,New Hampshire,0.65215737
Colorado St,Cent Arkansas,0.7192315
CS Bakersfield,Quinnipiac,0.85090023
Samford,St Louis,0.8295694
Harvard,N Kentucky,0.83162296
NC A&T,East Texas A&M,0.94771236
Utah Tech,North Texas,0.5586827
Indiana,Bowling Green,0.5198163
Central Conn,Old Dominion,0.5327061
Loyola MD,Wofford,0.79050964
Southern Univ,Kennesaw,0.5377981
UNC Wilmington,Wake Forest,0.7131977
MTSU,Louisiana,0.8072782
Pittsburgh,UCLA,0.8550575
UC Davis,New Mexico St,0.9009246
Florida A&M,Memphis,0.6515171
Davidson,SMU,0.69599056
Akron,S Carolina St,0.58541846
Virginia,Maryland,0.9124048
Cincinnati,Incarnate Word,0.5006615
NC A&T,UNC Asheville,0.9962243
Bowling Green,Charlotte,0.7241501
Towson,Ohio St,0.79364604
East Carolina,Charleston So,0.63490176
SC Upstate,St Louis,0.95786387
Houston,Seton Hall,0.7041723
New Mexico,Texas St,0.5765722
Toledo,Citadel,0.7030408
Nevada,Merrimack,0.9476986
Mercyhurst,Okla City,0.9623367
Creighton,UNC Wilmington,0.9256973
Ball St,Abilene Chr,0.5005826
Liberty,Winthrop,0.9030193
Kent,Monmouth NJ,0.7793936
Bethune-Cookman,MD E Shore,0.9712408
Kansas,Duke,0.78438956
N Kentucky,Missouri,0.719813
E Illinois,Marist,0.50781167
La Salle,St Peter's,0.59063846
Cal Poly,James Madison,0.7403098
Longwood,Hofstra,0.9912915
West Georgia,Longwood,0.60771215
E Illinois,Elon,0.9399856
Drexel,Iona,0.9374577
N Kentucky,Hofstra,0.77683854
Long Beach St,New Orleans,0.7079487
Austin Peay,CS Fullerton,0.74424946
Loy Marymount,WI Green Bay,0.82918555
Binghamton,UCF,0.57329583
Georgia St,C Michigan,0.7560687
Arkansas St,Lamar,0.8629115
St Louis,Mississippi,0.86291945
North Florida,Southern Utah,0.7267271
Oregon St,Tennessee Tech,0.5308659
Indiana,Longwood,0.9625032
Samford,Oakland,0.5312875
TAM C. Christi,LSU,0.89715064
Boston Univ,Grand Canyon,0.8163419
Grand Canyon,Brown,0.5544558
Troy,SF Austin,0.51821494
Georgia St,Penn,0.752817
Kansas,Ark Little Rock,0.66502386
Boise St,WI Milwaukee,0.63127905
Seattle,CS Northridge,0.55221933
Augusta,UC Riverside,0.5550768
California,S Illinois,0.61522496
VMI,Furman,0.7188756
FGCU,S Dakota St,0.60963166
Georgia Tech,Morehead St,0.66793907
Marshall,American Univ,0.851876
Holy Cross,Colorado,0.52251714
W Michigan,Niagara,0.9599538
North Texas,Central Conn,0.7270441
Iowa,LSU,0.9052448
Princeton,LIU Brooklyn,0.79364103
Alabama,Tennessee Tech,0.87074184
Columbia,Central Conn,0.5311044
East Texas A&M,Hartford,0.92423505
Nebraska,Minnesota,0.79908633
FGCU,Wagner,0.54294056
Washington St,Xavier,0.9310016
Maryland,Idaho St,0.60701615
UCLA,TN Martin,0.7117338
Memphis,NC Central,0.70450026
Holy Cross,Birmingham So,0.7627466
SC Upstate,Alliant Intl,0.8603617
S Illinois,North Texas,0.81574863
Ark Pine Bluff,Georgia St,0.5546969
Kansas,Southern Miss,0.9115433
Nicholls St,Southern Miss,0.90668887
MA Lowell,Florida A&M,0.75750697
Nicholls St,Virginia Tech,0.9659275
McNeese St,Coppin St,0.7449804
Yale,James Madison,0.94153386
Okla City,Oral Roberts,0.6486763
Indiana,New Mexico St,0.97800237
TN Martin,Portland St,0.5558779
UC Irvine,Arizona St,0.9938729
Akron,SC Upstate,0.5107614
Southern Utah,BYU,0.8818752
NC State,Georgia,0.71798337
CS Bakersfield,SMU,0.75571746
Alabama,BYU,0.6117792
St Francis PA,Prairie View,0.71572316
Harvard,Lafayette,0.69521874
Delaware,Vermont,0.75016123
Incarnate Word,Manhattan,0.7490999
North Texas,Marquette,0.6590121
St Joseph's PA,Okla City,0.6658483
NC A&T,MA Lowell,0.9166574
Manhattan,S Illinois,0.74907875
Presbyterian,Davidson,0.8375246
North Alabama,Marist,0.73304003
Georgetown,Southern Indiana,0.53002936
UTEP,South Alabama,0.87124926
Wofford,Pepperdine,0.84978485
Bucknell,St Louis,0.620146
California,CS Northridge,0.8475349
Samford,W Illinois,0.8773286
Austin Peay,Utah,0.7243977
South Alabama,West Georgia,0.71072125
UC San Diego,Colorado St,0.5320273
Vermont,Quinnipiac,0.8980015
Auburn,Northwestern,0.6846604
Northern Arizona,Miami OH,0.9299435
