Predicted Winner,Underdog
Brooklyn,St John's
Navy,Lamar
Loyola MD,Ga Southern
Tulane,California
Tennessee Tech,St Bonaventure
Pepperdine,N Dakota St
Yale,Charleston So
Abilene Chr,Pepperdine
Abilene Chr,Pacific
MTSU,UCF
Dartmouth,Birmingham So
Sacred Heart,Utica
Connecticut,Colorado St
LIU Brooklyn,Towson
Iowa St,Furman
North Texas,UNC Greensboro
Norfolk St,Nevada
Northwestern LA,St Joseph's PA
Columbia,SMU
Michigan St,Iona
C Michigan,Louisiana
IUPUI,Tennessee St
UC Irvine,Grambling
Northwestern,UMBC
San Jose St,Villanova
Robert Morris,Nebraska
E Michigan,Austin Peay
Grambling,St Mary's CA
Hawaii,Gardner Webb
Georgetown,UTEP
St John's,SE Missouri St
UC San Diego,Old Dominion
Alabama,Northeastern
Minnesota,Grand Canyon
IL Chicago,UC Santa Barbara
Charleston So,Hartford
Buffalo,MD E Shore
Temple,Oklahoma
WI Milwaukee,Georgia St
Queens NC,Sam Houston St
SE Missouri St,Missouri KC
Miami OH,Montana St
Queens NC,Seton Hall
Norfolk St,UC Santa Barbara
Yale,Jackson St
Siena,Creighton
Cleveland St,W Illinois
American Univ,TAM C. Christi
Loyola MD,Iowa
Texas Tech,UNC Asheville
New Orleans,Army
CS Northridge,Cal Baptist
Boston College,Arizona
North Carolina,Delaware
New Orleans,S Carolina St
Northeastern,Okla City
Mississippi,Utah St
Sam Houston St,Fairfield
Wichita St,C Michigan
Incarnate Word,Delaware
Indiana St,CS Northridge
Bucknell,Tulsa
Southern Utah,Georgetown
SIUE,New Mexico St
MTSU,Southern Utah
New Orleans,Rhode Island
Armstrong St,CS Fullerton
Northern Arizona,Campbell
Colgate,Cornell
Utah St,UCLA
Ohio,Texas St
Winthrop,Dayton
Southern Miss,Loy Marymount
MD E Shore,Lindenwood
Virginia,Indiana St
Armstrong St,California
Wake Forest,Kansas
Belmont,NC A&T
California,N Dakota St
Missouri St,Charlotte
UNC Greensboro,Rhode Island
Pepperdine,Kent
Wichita St,Howard
Seattle,Elon
Alabama,S Dakota St
New Mexico St,NC Central
Southern Univ,Indiana St
Louisville,Le Moyne
W Salem St,Princeton
Bucknell,CS Sacramento
Michigan St,Pittsburgh
Furman,Minnesota
Col Charleston,Kentucky
St Francis NY,Duquesne
Rider,Delaware
Rider,Iowa
Marquette,Tulane
Bucknell,Seattle
Northeastern,Brown
TCU,South Florida
Southern Indiana,UNC Wilmington
Utah,St Bonaventure
UTRGV,ULM
North Carolina,Evansville
Tennessee,Ga Southern
Savannah St,WKU
Northwestern,McNeese St
Rice,Iowa St
Ball St,WI Milwaukee
Northern Iowa,Drexel
LIU Brooklyn,Drake
Tennessee,Pepperdine
Boston Univ,Ga Southern
E Kentucky,Oklahoma
Sam Houston St,Hawaii
Northern Arizona,Texas Tech
LIU Brooklyn,South Carolina
South Dakota,SC Upstate
Stetson,Indiana St
Gardner Webb,St Thomas MN
Lehigh,Yale
Southern Indiana,Notre Dame
DePaul,Utah Valley
Tulane,MD E Shore
Coppin St,North Florida
Hofstra,Fairfield
Tarleton St,Arkansas
St Francis PA,Virginia
Penn St,CS Sacramento
Merrimack,Arizona St
UAB,Morris Brown
Cent Arkansas,Idaho St
Nebraska,Illinois St
SUNY Albany,Quinnipiac
FGCU,Louisiana
Georgia,South Florida
Holy Cross,Florida A&M
S Illinois,N Colorado
Tennessee Tech,S Dakota St
Wagner,Indiana St
Utah Tech,Hardin-Simmons
Chicago St,Penn St
Navy,San Diego
SC Upstate,Southern Univ
UTEP,Rutgers
Central Conn,Col Charleston
SC Upstate,Ark Little Rock
Baylor,Col Charleston
James Madison,Rhode Island
Binghamton,Weber St
Gonzaga,New Mexico
Stony Brook,Oregon
Miami OH,Toledo
Utica,Abilene Chr
St Francis PA,VMI
N Illinois,Mercyhurst
North Alabama,Quinnipiac
Weber St,C Michigan
Kent,Tennessee St
Washington,Harvard
Marshall,Wichita St
Drake,Virginia
Howard,Coastal Car
E Michigan,Boise St
Troy,Fordham
Ohio,Hawaii
Arkansas,Florida A&M
Southern Miss,Alabama St
Nicholls St,ULM
Furman,Navy
American Univ,Portland
NJIT,Citadel
Arkansas,Savannah St
Southern Univ,Fairfield
SE Missouri St,Columbia
Baylor,McNeese St
Pacific,MTSU
Columbia,Houston Chr
W Michigan,Louisiana Tech
North Dakota,Princeton
Delaware St,N Dakota St
Davidson,WKU
Bethune-Cookman,SMU
Colgate,SC Upstate
Kansas,Howard
Minnesota,Florida
Alcorn St,Idaho St
Savannah St,Connecticut
Jacksonville St,St Thomas MN
Cent Arkansas,St Thomas MN
Lafayette,Creighton
Grambling,Quinnipiac
Seton Hall,Pepperdine
Cleveland St,Incarnate Word
ETSU,Loyola MD
East Carolina,UT Arlington
UC San Diego,Delaware St
North Carolina,Indiana
Bradley,St Thomas MN
IUPUI,Cal Baptist
Armstrong St,Siena
Oklahoma,Florida Intl
New Mexico St,Manhattan
Ark Little Rock,Arkansas
Morehead St,Bryant
Kentucky,California
East Texas A&M,American Univ
Nebraska,G Washington
FL Atlantic,Buffalo
Maine,Pacific
Cent Arkansas,North Alabama
SMU,Vermont
Houston,Florida
West Virginia,Marist
Drake,Rhode Island
Ball St,Southern Indiana
Clemson,Jacksonville St
E Washington,WKU
South Dakota,Hampton
Louisville,UC Riverside
CS Northridge,Houston Chr
George Mason,Howard
UNC Wilmington,Washington
Florida St,Rider
Le Moyne,N Colorado
Kennesaw,TN Martin
St Francis PA,Ohio
Towson,Fresno St
Villanova,Virginia
Nicholls St,Clemson
Kansas,St Francis PA
Harvard,Maryland
North Carolina,CS Bakersfield
Georgia St,South Carolina
Missouri,High Point
Nebraska,West Virginia
Le Moyne,Ohio
North Dakota,Arkansas
Tennessee Tech,Wyoming
La Salle,South Alabama
Belmont,Manhattan
Hardin-Simmons,George Mason
Fordham,PFW
Dartmouth,Kennesaw
UCF,Houston
SUNY Albany,Stonehill
Brown,Youngstown St
Southern Indiana,E Kentucky
Jacksonville St,Liberty
SE Missouri St,E Michigan
Northwestern,North Dakota
S Carolina St,Clemson
St Francis NY,NC State
UNC Asheville,Robert Morris
Morris Brown,Cal Poly
UAB,Maine
Penn,Bowling Green
Utah,UC Santa Barbara
Manhattan,F Dickinson
Bucknell,Gardner Webb
USC,Oklahoma
Cent Arkansas,Mississippi
Air Force,Temple
WI Green Bay,Duke
Mercer,St Francis PA
Harvard,Incarnate Word
James Madison,UC Irvine
Radford,Miami OH
Louisville,Stony Brook
San Francisco,Nebraska
North Carolina,Fresno St
E Illinois,Mt St Mary's
Fordham,Armstrong St
Pacific,Tennessee
N Colorado,Grand Canyon
Wright St,Air Force
George Mason,Iowa St
Alcorn St,UC Irvine
UAB,Drexel
Chattanooga,Vermont
UNC Greensboro,Charleston So
Central Conn,Purdue
Bryant,Georgia
UC Santa Barbara,SC Upstate
Nicholls St,Tennessee St
Florida Intl,St Francis NY
UNC Greensboro,W Texas A&M
Stonehill,Seton Hall
Monmouth NJ,Fordham
Santa Clara,Okla City
UNC Wilmington,Tennessee
Southern Utah,Penn
NJIT,Loy Marymount
G Washington,Okla City
NC State,Boise St
Stony Brook,Charlotte
Murray St,Ohio
Delaware,Morehead St
Wisconsin,Memphis
Bethune-Cookman,James Madison
Quinnipiac,Monmouth NJ
Northeastern,Savannah St
Indiana,Incarnate Word
WI Milwaukee,Houston
BYU,Texas St
SE Louisiana,Boston College
UAB,SIUE
W Illinois,Iona
Kennesaw,Wright St
S Carolina St,UMBC
Morehead St,Loy Marymount
Fordham,SC Upstate
Georgetown,Northeastern
UT San Antonio,UCLA
SE Missouri St,New Hampshire
St Peter's,Furman
N Illinois,Missouri KC
UNLV,Texas Tech
SIUE,W Michigan
McNeese St,Rhode Island
S Dakota St,Murray St
NC A&T,Arkansas St
Hardin-Simmons,Nebraska
Florida Intl,Purdue
Wake Forest,Colorado St
Belmont,ETSU
USC,Stanford
Florida,Georgia Tech
American Univ,Utah
Northern Iowa,BYU
Alabama A&M,Bellarmine
Memphis,Virginia Tech
Connecticut,UTRGV
Purdue,Washington St
Davidson,Boise St
Colorado St,Florida A&M
C Michigan,California
Southern Miss,Wake Forest
Santa Clara,Weber St
Miami OH,Texas A&M
PFW,SIUE
Houston,ETSU
Mercyhurst,Texas Tech
Kennesaw,St Thomas MN
G Washington,SIUE
Montana St,Northwestern LA
Ohio,NJIT
SIUE,Boston Univ
Radford,Evansville
Ohio,Oregon
VMI,Bradley
Vanderbilt,Utica
American Univ,James Madison
New Orleans,Kansas
Furman,UCF
E Illinois,Florida
Temple,Oakland
Memphis,Central Conn
New Mexico St,NC State
Mississippi St,Auburn
SF Austin,Lamar
W Salem St,Georgia
C Michigan,Mercer
Ohio,Howard
Manhattan,Miami OH
Southern Indiana,W Illinois
Akron,Binghamton
Stanford,Hampton
Creighton,Richmond
Wake Forest,DePaul
S Carolina St,Central Conn
SC Upstate,Georgetown
Nevada,Prairie View
Arkansas St,Queens NC
South Carolina,West Virginia
Loy Marymount,Santa Clara
Rice,Chicago St
Citadel,Bryant
Cal Poly,Portland St
Seton Hall,Gonzaga
Mercer,Cornell
Missouri KC,Ark Little Rock
Rhode Island,James Madison
Queens NC,Purdue
Georgetown,E Washington
W Salem St,Colgate
Loy Marymount,St Mary's CA
St Mary's CA,Stetson
New Orleans,Army
Nevada,E Michigan
Samford,Army
Brown,PFW
Lamar,Oral Roberts
Virginia Tech,Cincinnati
Washington St,TN Martin
N Illinois,Ark Pine Bluff
SE Missouri St,Montana
W Carolina,Tarleton St
Tulsa,UNC Wilmington
UAB,PFW
Notre Dame,Brooklyn
La Salle,Miami OH
Connecticut,Massachusetts
Colorado St,Nicholls St
UCF,UC San Diego
Butler,Nebraska
Utah,San Jose St
Liberty,Chattanooga
E Kentucky,Arizona St
Samford,Vanderbilt
Hampton,Bryant
Seattle,VCU
Morehead St,Bucknell
Long Beach St,Howard
Brooklyn,Bradley
Memphis,UNLV
South Carolina,Indiana
Brown,CS Bakersfield
Florida Intl,San Francisco
North Dakota,Stonehill
Ohio,Belmont
Wagner,Lafayette
Nevada,Evansville
Virginia Tech,Oklahoma
Villanova,Pepperdine
La Salle,Rider
Samford,South Dakota
Pittsburgh,Cent Arkansas
N Illinois,Arizona St
WKU,Dayton
West Georgia,Indiana
Miami FL,Birmingham So
Samford,Savannah St
Purdue,St Francis NY
Iowa,Ball St
SIUE,MTSU
Texas St,Indiana St
IL Chicago,Idaho St
Kentucky,Cornell
Pittsburgh,Stanford
Kansas,Virginia
Oregon,W Illinois
Bowling Green,Santa Clara
C Michigan,Delaware
TAM C. Christi,Clemson
Marshall,Temple
Birmingham So,Denver
Montana,Northwestern
Long Beach St,Wagner
Armstrong St,Missouri
St Joseph's PA,Loyola MD
Florida St,Houston Chr
UC Riverside,Providence
Maryland,Vanderbilt
NE Omaha,St Bonaventure
Davidson,Howard
IL Chicago,Cornell
Cal Poly,Richmond
Longwood,Austin Peay
Harvard,SMU
Dartmouth,WI Milwaukee
Illinois St,Memphis
Navy,N Kentucky
Rhode Island,North Carolina
Florida Intl,UNC Asheville
Alliant Intl,Oregon
Utah St,FGCU
Mississippi,Navy
Loyola-Chicago,TN Martin
Temple,W Illinois
Santa Clara,Hardin-Simmons
DePaul,Lamar
Rider,Texas St
Pepperdine,Dayton
North Dakota,Penn St
Holy Cross,Oral Roberts
Butler,TN Martin
Drexel,Bethune-Cookman
Drexel,Toledo
Louisiana Tech,CS Fullerton
SMU,Alabama
Houston,Seattle
UT San Antonio,Virginia Tech
Utah Valley,Oregon
Northwestern LA,CS Fullerton
Norfolk St,Penn
Hofstra,La Salle
S Dakota St,Kentucky
Kent,Harvard
Southern Utah,Bucknell
Robert Morris,Kennesaw
Merrimack,Florida Intl
Auburn,Marquette
St Thomas MN,Utah St
Boston Univ,Drexel
Iona,Idaho
St Bonaventure,Syracuse
North Alabama,Wright St
New Mexico St,Illinois
ULM,G Washington
UCF,Notre Dame
Citadel,Hardin-Simmons
Minnesota,UNC Greensboro
Old Dominion,Duke
MTSU,W Carolina
Coastal Car,Loyola MD
Jacksonville St,Sacred Heart
TX Southern,Georgetown
St Mary's CA,New Mexico
Mississippi,W Carolina
Stanford,Campbell
Holy Cross,SMU
Boise St,Buffalo
Iowa,Arizona St
Valparaiso,McNeese St
Baylor,Oregon
Tennessee,West Virginia
UNC Greensboro,Stetson
St Louis,Auburn
Vanderbilt,Rider
UC San Diego,N Colorado
Georgia Tech,Montana St
Massachusetts,Tennessee
Butler,Xavier
S Carolina St,Citadel
Southern Indiana,Longwood
Bethune-Cookman,Marist
MD E Shore,Troy
W Carolina,Mississippi St
Incarnate Word,Alcorn St
Florida A&M,F Dickinson
American Univ,Long Beach St
VCU,Rice
CS Fullerton,Samford
Yale,Boston College
Rutgers,Navy
Connecticut,Richmond
Wichita St,Texas A&M
Troy,Chattanooga
Tulsa,San Diego
Virginia,Utica
Birmingham So,Maryland
Charleston So,LSU
North Alabama,St Mary's CA
Marshall,VMI
SF Austin,Detroit
Yale,Pacific
Michigan,NJIT
Hartford,Seattle
Chattanooga,Colorado
LSU,BYU
Cornell,Michigan St
Elon,Rider
Lindenwood,Indiana St
Penn,UC San Diego
Maine,Hartford
UCLA,Longwood
Lamar,Santa Clara
Virginia,Long Beach St
CS Fullerton,Lindenwood
Oklahoma St,Quinnipiac
Oral Roberts,Troy
Wichita St,LSU
S Carolina St,UC Irvine
South Carolina,Villanova
Chattanooga,Kansas
Chicago St,Appalachian St
American Univ,Michigan St
Loy Marymount,William & Mary
Stetson,South Dakota
Miami FL,Morgan St
Baylor,Northwestern LA
East Carolina,Utah Valley
Louisiana,Mississippi
Massachusetts,Quinnipiac
Arizona St,Temple
Xavier,Troy
San Francisco,W Texas A&M
Fordham,San Francisco
Abilene Chr,Clemson
Missouri St,SF Austin
South Florida,Richmond
Baylor,MA Lowell
SE Missouri St,Samford
Xavier,Oklahoma St
NJIT,Utica
W Salem St,Seton Hall
ETSU,Queens NC
Radford,Marshall
North Florida,Santa Clara
DePaul,Binghamton
New Orleans,Central Conn
Denver,Chicago St
SF Austin,Elon
NE Omaha,Mississippi St
Delaware St,Howard
UT San Antonio,Campbell
Niagara,Texas A&M
Jacksonville St,Jackson St
Murray St,E Michigan
Portland,Mississippi
Fordham,Furman
Marist,SMU
Virginia Tech,Grand Canyon
Maryland,SIUE
N Kentucky,Armstrong St
SF Austin,UC Irvine
Mt St Mary's,New Hampshire
North Alabama,Seton Hall
Morris Brown,Austin Peay
Purdue,Lindenwood
St Peter's,Ohio
Central Conn,Kansas
Elon,Miami OH
IL Chicago,Indiana
TCU,Denver
Wichita St,Louisville
Binghamton,Air Force
Illinois,UC Santa Barbara
Stonehill,St Mary's CA
MS Valley St,Georgia Tech
ETSU,Notre Dame
Colorado St,Marquette
Samford,Northeastern
Auburn,Armstrong St
Citadel,Arizona
East Texas A&M,SUNY Albany
Hardin-Simmons,Miami FL
Utica,Texas Tech
F Dickinson,Kennesaw
Houston,Providence
Monmouth NJ,SIUE
UC San Diego,Utah Valley
Montana,Iowa St
Old Dominion,N Kentucky
Washington,Presbyterian
Troy,Okla City
Oral Roberts,Missouri KC
E Illinois,SE Louisiana
Old Dominion,Morgan St
Oklahoma,Creighton
Boise St,F Dickinson
James Madison,W Michigan
VCU,Troy
Minnesota,Nicholls St
Armstrong St,UCLA
Hardin-Simmons,PFW
IL Chicago,Alcorn St
Tulsa,Iowa
Hardin-Simmons,MTSU
SMU,Bryant
VCU,N Kentucky
Tennessee Tech,Chattanooga
E Kentucky,Austin Peay
Southern Miss,Jacksonville
McNeese St,Mississippi
Lehigh,Mercer
WKU,Navy
Wichita St,FL Atlantic
Rider,Utica
UAB,TN Martin
Fresno St,Washington St
Boise St,Jackson St
Ohio St,Denver
George Mason,Nicholls St
Lindenwood,Miami FL
E Washington,St Francis PA
SC Upstate,Jacksonville
San Jose St,Texas St
San Diego St,Incarnate Word
Chattanooga,Towson
Tulsa,W Carolina
Indiana St,Detroit
Pepperdine,Wisconsin
ETSU,Colorado
Abilene Chr,Tulane
Lipscomb,FL Atlantic
Florida A&M,Bethune-Cookman
St John's,St Thomas MN
Utah,E Washington
Morehead St,Air Force
Lindenwood,Samford
Elon,SE Missouri St
NE Omaha,Lipscomb
California,UNC Asheville
Winthrop,UNC Asheville
Toledo,Tennessee
Montana St,Xavier
Minnesota,Radford
Central Conn,Navy
St Bonaventure,Indiana
Miami FL,Coastal Car
C Michigan,Cincinnati
Providence,Washington
Mercyhurst,New Hampshire
Florida St,Iowa
Furman,W Salem St
San Francisco,S Dakota St
Purdue,SUNY Albany
Wisconsin,Ball St
George Mason,Virginia Tech
High Point,UC Riverside
Hofstra,Hartford
North Texas,Butler
E Illinois,TX Southern
Lafayette,American Univ
George Mason,SIUE
W Salem St,Weber St
Yale,E Michigan
Vermont,Armstrong St
Samford,Bellarmine
Alabama,Austin Peay
Elon,Manhattan
Howard,Maine
Lamar,W Michigan
New Orleans,UNC Wilmington
LSU,Oregon St
UNC Asheville,San Jose St
Coastal Car,Morris Brown
Coastal Car,Long Beach St
California,Marist
Bradley,Campbell
Missouri St,Rice
Murray St,UCF
Navy,St John's
Villanova,Centenary
Princeton,Houston
Okla City,SE Louisiana
Coppin St,CS Bakersfield
Campbell,SC Upstate
Maryland,Kent
Jacksonville,Michigan
UCF,Rhode Island
Old Dominion,Mercyhurst
Boston Univ,Sacred Heart
Lindenwood,Austin Peay
Texas A&M,Presbyterian
Wisconsin,Ga Southern
Radford,Chattanooga
Pittsburgh,Florida Intl
Bucknell,Utah Valley
Pittsburgh,Chattanooga
Houston,Purdue
Richmond,Long Beach St
UC Riverside,St Louis
West Georgia,Kent
Elon,Rice
North Carolina,W Carolina
Utah,F Dickinson
Princeton,SIUE
Portland St,Kent
Minnesota,Tarleton St
Nicholls St,Alabama
Rider,Ark Pine Bluff
Missouri St,Houston Chr
Maryland,Towson
Connecticut,FGCU
Robert Morris,Florida Intl
Ohio,CS Fullerton
Jackson St,Chattanooga
Yale,Savannah St
North Florida,Purdue
Coastal Car,Stonehill
CS Fullerton,Wofford
Marquette,Lipscomb
NC A&T,Colorado
New Mexico St,Niagara
Nevada,North Texas
Morehead St,Richmond
Tennessee St,Ark Little Rock
Illinois St,UNLV
Colorado,Purdue
St Thomas MN,UCLA
Oakland,Alabama A&M
W Texas A&M,Utah Valley
G Washington,Utah St
Mercer,Gardner Webb
NC Central,American Univ
San Jose St,Pepperdine
Augusta,Brooklyn
Tennessee St,CS Bakersfield
Tulane,TN Martin
Ga Southern,S Illinois
SE Louisiana,Morgan St
Winthrop,NE Omaha
Arkansas,UC Irvine
Central Conn,Bowling Green
FL Atlantic,VMI
NC A&T,Oklahoma
Duke,W Salem St
WI Green Bay,UAB
Stony Brook,Wyoming
Stetson,Washington
American Univ,N Colorado
FL Atlantic,UC San Diego
Robert Morris,Kennesaw
Penn St,San Diego
Fairfield,Wright St
E Washington,Ark Little Rock
Hampton,Citadel
Prairie View,Florida
Missouri KC,Toledo
CS Bakersfield,Bradley
NC Central,Wagner
Maryland,UCF
Fresno St,Lehigh
S Dakota St,Delaware
Appalachian St,Southern Univ
Loyola-Chicago,Evansville
Xavier,Northwestern LA
Marquette,Rider
Columbia,Tulsa
Tulsa,Austin Peay
North Dakota,Lindenwood
Wright St,Niagara
W Texas A&M,UNC Asheville
Florida A&M,Virginia Tech
Chicago St,East Texas A&M
Alliant Intl,Michigan
San Jose St,Alabama St
Colorado,UNLV
UC Santa Barbara,Gardner Webb
Tennessee,Massachusetts
Santa Clara,Siena
Northern Iowa,Winthrop
Missouri,Niagara
Portland St,Portland
Northwestern,Seattle
C Michigan,St Peter's
Queens NC,South Dakota
Utica,Ga Southern
South Dakota,Montana St
NC State,Lamar
Iowa,CS Northridge
MTSU,Bellarmine
SIUE,Mercer
UT San Antonio,American Univ
Nevada,Connecticut
DePaul,East Texas A&M
NJIT,Clemson
Ohio St,Purdue
Alliant Intl,Campbell
Fresno St,Cleveland St
Florida Intl,Colorado
Cal Baptist,UNC Greensboro
LIU Brooklyn,Old Dominion
Arkansas St,Santa Clara
North Florida,Oakland
Bellarmine,Northwestern LA
Villanova,Kent
UCLA,Cleveland St
Boston College,Hardin-Simmons
Le Moyne,Utah
Baylor,E Washington
N Illinois,Cal Poly
W Carolina,NC Central
Tennessee St,Northern Iowa
Long Beach St,S Illinois
Xavier,St Francis NY
UNC Asheville,SMU
Nicholls St,Bradley
Davidson,Wright St
SUNY Albany,UNC Wilmington
Nebraska,Tulsa
Kansas St,Sam Houston St
Savannah St,Radford
Utah Valley,Vermont
Missouri St,Savannah St
Nevada,Oakland
Coppin St,Morris Brown
Utah Tech,Portland
Cleveland St,Georgia
Virginia Tech,Seattle
Alabama A&M,Hawaii
George Mason,James Madison
Air Force,Oregon
South Dakota,Wake Forest
Gonzaga,Elon
Tarleton St,Rice
Kent,Robert Morris
Brooklyn,Howard
Oakland,Rider
NC A&T,Kansas St
New Mexico St,Louisiana
Dartmouth,UCF
LSU,Southern Univ
UC Santa Barbara,Okla City
North Florida,CS Northridge
UTRGV,Kentucky
Loy Marymount,Campbell
Alabama A&M,Col Charleston
WI Green Bay,Presbyterian
Arizona St,SE Louisiana
Houston Chr,DePaul
Kentucky,St John's
Towson,Houston Chr
Youngstown St,Ark Pine Bluff
IL Chicago,Richmond
Buffalo,New Hampshire
Wyoming,New Mexico
St Mary's CA,Pepperdine
Oral Roberts,San Diego
C Michigan,North Carolina
Indiana,Jacksonville St
S Carolina St,SC Upstate
Oregon St,Buffalo
Texas Tech,WI Green Bay
NE Omaha,St Francis PA
SMU,Citadel
Furman,C Michigan
Utah St,St Peter's
Washington,Michigan
Samford,Murray St
Penn,Coppin St
Coastal Car,Iowa
Bethune-Cookman,Northern Iowa
Minnesota,Stony Brook
IUPUI,North Florida
Drake,UAB
ETSU,Navy
Appalachian St,Boston College
Marist,San Francisco
Holy Cross,High Point
Winthrop,North Alabama
Miami OH,West Georgia
Army,Northern Arizona
Memphis,Appalachian St
Wagner,Kennesaw
UC Davis,Drake
Youngstown St,North Florida
N Dakota St,Sam Houston St
UCLA,Drexel
Armstrong St,Boise St
Texas Tech,Baylor
Northwestern,Arkansas St
Hampton,ULM
MTSU,Washington St
St Bonaventure,Holy Cross
Bucknell,Northern Arizona
Chicago St,Furman
Ohio St,Seattle
Davidson,NE Omaha
Florida,TX Southern
Dartmouth,Loyola-Chicago
Kentucky,S Carolina St
Butler,UC San Diego
Jackson St,Murray St
Georgetown,Elon
W Illinois,Wichita St
Duke,Missouri KC
Minnesota,Air Force
Lipscomb,LIU Brooklyn
Alabama St,G Washington
Temple,BYU
San Francisco,Southern Miss
San Diego,DePaul
UC Irvine,Virginia Tech
Wright St,High Point
Mt St Mary's,Ark Little Rock
ULM,Illinois St
Rhode Island,Pepperdine
Colorado,St Mary's CA
Toledo,Alabama St
Denver,Col Charleston
Georgia Tech,DePaul
Bryant,Marist
Boston College,Buffalo
Delaware St,Houston
UC San Diego,Murray St
Colgate,Stonehill
Villanova,Mercyhurst
Manhattan,SMU
Kennesaw,Stetson
Buffalo,Duquesne
South Carolina,Penn
Samford,Okla City
Toledo,IUPUI
Gardner Webb,SUNY Albany
Morris Brown,Harvard
Citadel,Vanderbilt
Valparaiso,Kent
Northern Iowa,Temple
Morris Brown,Cornell
Nevada,NE Omaha
Siena,High Point
IUPUI,Sacred Heart
Washington,West Georgia
E Illinois,Cal Baptist
Seattle,Charleston So
Holy Cross,Yale
N Dakota St,Missouri St
Alabama St,Cincinnati
Richmond,Memphis
Temple,UNC Asheville
Idaho,PFW
USC,UNC Wilmington
North Florida,UC Davis
Fordham,Iona
Creighton,Indiana St
Longwood,Iona
Augusta,Gardner Webb
Richmond,Santa Clara
Alabama St,Indiana
E Illinois,Texas Tech
UMBC,Stony Brook
Arizona St,Okla City
Florida St,Alliant Intl
Alabama,Marshall
Nebraska,St Louis
Mississippi,Northwestern
Wright St,St John's
Gonzaga,Bethune-Cookman
E Illinois,Oklahoma St
Stanford,UAB
Oregon,Col Charleston
Mt St Mary's,Mississippi
Seton Hall,St Louis
New Mexico St,SE Missouri St
W Texas A&M,Stonehill
James Madison,East Texas A&M
Colorado,Utah St
Fordham,S Carolina St
N Illinois,Santa Clara
Oregon,Mt St Mary's
Niagara,Indiana St
TX Southern,Navy
Bellarmine,W Carolina
Augusta,N Illinois
Houston,E Illinois
Harvard,Le Moyne
Siena,Tennessee Tech
Gonzaga,Campbell
Portland St,UC San Diego
Hartford,Queens NC
San Francisco,Davidson
Rhode Island,G Washington
Denver,Lamar
Ga Southern,East Carolina
Augusta,McNeese St
W Michigan,Grand Canyon
Incarnate Word,New Orleans
Stony Brook,Villanova
Louisville,Santa Clara
South Florida,Charlotte
CS Fullerton,Hawaii
Ohio,Mt St Mary's
NC Central,FL Atlantic
Miami FL,Vanderbilt
Pepperdine,Idaho
Yale,Pittsburgh
North Dakota,SUNY Albany
CS Sacramento,St John's
Abilene Chr,Radford
Rice,N Kentucky
Towson,UC Santa Barbara
Southern Utah,Alabama St
S Dakota St,Georgia St
Drake,SC Upstate
Ga Southern,N Kentucky
Georgia Tech,Indiana
Rice,Bowling Green
N Kentucky,S Dakota St
UNLV,Weber St
VMI,Canisius
Evansville,Kansas
Army,Valparaiso
Florida,Idaho St
Oakland,Ga Southern
Brown,Missouri St
Portland,Missouri St
Arkansas St,Louisiana Tech
Tulsa,Pepperdine
Missouri,California
E Michigan,Butler
Augusta,Grand Canyon
St Mary's CA,Southern Indiana
Savannah St,UC Santa Barbara
IUPUI,West Georgia
Northeastern,Portland
Texas Tech,Missouri St
Nevada,Washington
Loy Marymount,Grambling
Brooklyn,Alliant Intl
Villanova,Louisiana
St Francis PA,Nevada
Kennesaw,San Francisco
TX Southern,S Illinois
E Illinois,Towson
Texas Tech,Butler
N Dakota St,Winthrop
Northern Arizona,Air Force
Youngstown St,Central Conn
Charleston So,Howard
George Mason,VCU
Miami FL,Iona
Georgetown,Mt St Mary's
Arkansas St,St Bonaventure
Georgia,Montana
St Bonaventure,Morehead St
Hampton,Delaware
St Joseph's PA,Kent
Grambling,New Mexico St
Southern Utah,Cent Arkansas
NJIT,Ohio
Wisconsin,Rice
CS Sacramento,Central Conn
Lindenwood,Lipscomb
Pacific,Purdue
Tulane,Davidson
TCU,Northeastern
San Diego St,Kent
Washington St,New Mexico St
Lipscomb,Hartford
Texas A&M,St Francis NY
Colgate,Marist
Morehead St,Presbyterian
Connecticut,F Dickinson
Stony Brook,Coppin St
Villanova,Michigan
Mercer,South Alabama
Hofstra,Austin Peay
Rutgers,Tarleton St
Idaho St,Bowling Green
Rider,Oakland
Ga Southern,C Michigan
S Illinois,Manhattan
Delaware,Drake
Prairie View,Ohio
Wright St,Army
North Texas,California
FL Atlantic,Sam Houston St
Toledo,Vermont
Iowa St,SUNY Albany
Charlotte,Brooklyn
Jacksonville,Coppin St
MD E Shore,Chattanooga
Drake,UAB
Belmont,North Alabama
Utah,UMBC
Illinois,Maine
Minnesota,Cincinnati
Sam Houston St,Brooklyn
WI Milwaukee,Rutgers
Elon,N Dakota St
Louisiana,Seton Hall
South Carolina,Binghamton
St Thomas MN,Texas Tech
Boston College,Missouri KC
Charlotte,Toledo
Creighton,Georgia
Idaho St,Nicholls St
Siena,St Joseph's PA
Rider,Bucknell
UNC Asheville,Oklahoma
Army,E Kentucky
LIU Brooklyn,Cal Baptist
South Alabama,Samford
Montana St,TN Martin
Jackson St,W Illinois
Florida A&M,Lehigh
UCF,Armstrong St
Richmond,Kentucky
IL Chicago,George Mason
Lafayette,Oral Roberts
Nevada,S Carolina St
Southern Miss,Appalachian St
TAM C. Christi,Appalachian St
Furman,Sacred Heart
CS Fullerton,MTSU
